[2025-01-28T09:27:58.599-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-28T09:27:58.606-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-05-27T00:00:00+00:00 [queued]>
[2025-01-28T09:27:58.613-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-05-27T00:00:00+00:00 [queued]>
[2025-01-28T09:27:58.614-0300] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2025-01-28T09:27:58.625-0300] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): inject_pactrat_agend_into_es> on 2021-05-27 00:00:00+00:00
[2025-01-28T09:27:58.631-0300] {standard_task_runner.py:72} INFO - Started process 69628 to run task
[2025-01-28T09:27:58.634-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'InsertPACTRATxAGENDIntoElastic', 'inject_pactrat_agend_into_es', 'scheduled__2021-05-27T00:00:00+00:00', '--job-id', '7499', '--raw', '--subdir', 'DAGS_FOLDER/DAGInjectPACTRATXAGENDElastic.py', '--cfg-path', '/tmp/tmpsrzgjuni']
[2025-01-28T09:27:58.635-0300] {standard_task_runner.py:105} INFO - Job 7499: Subtask inject_pactrat_agend_into_es
[2025-01-28T09:27:58.661-0300] {task_command.py:467} INFO - Running <TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-05-27T00:00:00+00:00 [running]> on host lucas-Aspire-A514-54
[2025-01-28T09:27:58.817-0300] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lucas' AIRFLOW_CTX_DAG_ID='InsertPACTRATxAGENDIntoElastic' AIRFLOW_CTX_TASK_ID='inject_pactrat_agend_into_es' AIRFLOW_CTX_EXECUTION_DATE='2021-05-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-05-27T00:00:00+00:00'
[2025-01-28T09:27:58.818-0300] {taskinstance.py:731} INFO - ::endgroup::
